scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
28,353.32404112815857,137.11647844314575,1.0,388.7547599077225,128.24819374084473,1.0,441.223286151886,139.89606618881226,1.0,477.37603199481964,143.19755268096924,1.0
29,353.0066251754761,137.29673290252686,1.0,388.7623679637909,128.19306659698486,1.0,441.3267843723297,139.92277717590332,1.0,477.8999043703079,143.1176574230194,1.0
30,353.00971126556396,137.21455907821655,1.0,388.7610245347023,128.23931884765625,1.0,441.29097986221313,139.86384916305542,1.0,477.6432634592056,143.27197122573853,1.0
31,352.90938901901245,137.20224142074585,1.0,388.76643431186676,128.1365065574646,1.0,441.23488759994507,139.78328227996826,1.0,477.8603261709213,143.23794674873352,1.0
32,353.066134929657,136.95826816558838,1.0,388.7614560723305,128.22064876556396,1.0,441.3289420604706,139.83814573287964,1.0,477.4640382528305,143.14422297477722,1.0
33,352.9043388366699,136.95693016052246,1.0,388.73250311613083,128.13115119934082,1.0,441.1428346633911,139.86861944198608,1.0,477.7705044746399,143.17308259010315,1.0
34,353.1278438568115,137.11179208755493,1.0,388.6918954849243,128.22994327545166,1.0,441.4358549118042,139.87884378433228,1.0,477.98839497566223,143.1369390487671,1.0
35,352.77168464660645,137.1182279586792,1.0,388.6335298418999,128.18551206588745,1.0,441.2269763946533,139.80107021331787,1.0,477.59447968006134,143.15959477424622,1.0
36,352.8621554374695,136.8272180557251,1.0,388.5850112438202,128.23861646652222,1.0,441.20946311950684,139.8855037689209,1.0,477.4038255214691,143.23862552642822,1.0
37,352.97470808029175,137.00420570373535,1.0,388.61730766296387,128.13946866989136,1.0,441.55687952041626,139.95003032684326,1.0,477.5107653141022,143.2107241153717,1.0
38,352.96437978744507,137.08888244628906,1.0,388.6210073232651,128.20722579956055,1.0,441.3307452201843,139.97408056259155,1.0,477.30224430561066,143.27823400497437,1.0
39,352.86395740509033,136.97006797790527,1.0,388.70041412115097,128.06639623641968,1.0,441.2017431259155,139.90930366516113,1.0,477.7062385082245,143.2560544013977,1.0
40,352.86952114105225,136.65905618667603,1.0,388.7245203256607,128.11393642425537,1.0,441.6703882217407,139.8766574859619,1.0,477.533038854599,143.2014389038086,1.0
41,352.56317710876465,136.86867141723633,1.0,388.7453762292862,128.0404028892517,1.0,441.06448459625244,139.52098816633224,1.0,477.6811088323593,143.1144301891327,1.0
42,352.57498931884766,136.65883684158325,1.0,388.877766251564,128.12596130371094,1.0,441.7820007801056,139.98121166229248,1.0,477.6023733615875,143.19067645072937,1.0
43,352.4584107398987,136.72619152069092,1.0,388.7128854393959,128.09832239151,1.0,441.78572511672974,139.985689163208,1.0,477.78940641880035,143.1612310409546,1.0
44,352.5476803779602,136.68335628509521,1.0,388.8288815021515,128.19368362426758,1.0,441.4887185096741,139.88640546798706,1.0,477.523898601532,143.18007397651672,1.0
