scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,60.04859150201082,0.8815774917602539,1.8775463104248047e-06,61.57032334804535,10.67102575302124,1.430511474609375e-06,60.09815400838852,-3.721313953399658,9.268522262573242e-06,60.09982971101999,0.10763072967529297,7.748603820800781e-07
1,60.087286934256554,0.8602049350738525,1.9073486328125e-06,68.7718938589096,6.774800777435303,1.4901161193847656e-06,60.09613184630871,-3.7139625549316406,9.387731552124023e-06,60.116124741733074,0.10547876358032227,7.748603820800781e-07
2,60.12179221212864,0.8489358425140381,1.8477439880371094e-06,61.37629771232605,10.71142864227295,1.5497207641601562e-06,60.080956757068634,-3.6832032203674316,9.208917617797852e-06,60.13472931087017,0.149275541305542,8.344650268554688e-07
3,60.12505556643009,0.8474173545837402,1.8775463104248047e-06,68.66972178220749,6.784286022186279,1.5497207641601562e-06,60.079878598451614,-3.6892666816711426,9.208917617797852e-06,60.134716525673866,0.13980627059936523,7.152557373046875e-07
4,60.12633307278156,0.8449797630310059,1.8477439880371094e-06,68.65614700317383,6.790984630584717,1.5497207641601562e-06,60.07692093402147,-3.69320011138916,9.119510650634766e-06,60.13433890044689,0.13481521606445312,7.748603820800781e-07
5,60.128974214196205,0.8466789722442627,1.817941665649414e-06,68.65548783540726,6.803147077560425,1.5497207641601562e-06,60.08044480532408,-3.6751084327697754,9.298324584960938e-06,60.14934965968132,0.11394858360290527,7.748603820800781e-07
6,60.165042355656624,0.834176778793335,1.7583370208740234e-06,68.56449806690216,6.773555755615234,1.5497207641601562e-06,60.09787403047085,-3.663238048553467,9.000301361083984e-06,60.163255661726,0.19146203994750977,7.748603820800781e-07
7,60.190959721803665,0.8681139945983887,1.817941665649414e-06,68.57041043043137,6.804717063903809,1.6689300537109375e-06,60.12788046896458,-3.656768321990967,9.179115295410156e-06,60.19669856131077,0.22411322593688965,8.344650268554688e-07
8,60.20193089544773,0.8806977272033691,1.8775463104248047e-06,68.5784757733345,6.807748556137085,1.6093254089355469e-06,60.13743422925472,-3.6553955078125,9.149312973022461e-06,60.21021419763565,0.22962021827697754,8.344650268554688e-07
9,60.19941204786301,0.9210939407348633,1.9371509552001953e-06,68.65574353933334,6.814037084579468,1.817941665649414e-06,60.098785899579525,-3.5990471839904785,9.745359420776367e-06,60.21791519224644,0.20226120948791504,7.748603820800781e-07
10,60.100688099861145,1.006587028503418,2.294778823852539e-06,61.49191606044769,10.728151321411133,1.9371509552001953e-06,60.079176500439644,-3.4552502632141113,1.0102987289428711e-05,60.19149403274059,0.1598954200744629,9.238719940185547e-07
11,339.38172858953476,371.92942624539137,6.973743438720703e-06,61.628751158714294,10.804841995239258,2.205371856689453e-06,60.14611381292343,-3.4159722328186035,1.1354684829711914e-05,336.23421573638916,378.44878113269806,1.9371509552001953e-06
12,340.58949214220047,374.71109795570374,1.0,328.70426511764526,382.26910972595215,5.2034854888916016e-05,335.91689920425415,382.67032170295715,0.00012215971946716309,339.1834707260132,373.8937577009201,0.0009930431842803955
13,339.6437074840069,373.14714193344116,1.0,350.188024520874,363.3420283794403,0.00010013580322265625,335.33799624443054,382.7823255062103,0.000218123197555542,337.3932361602783,371.4481210708618,0.000321120023727417
14,339.564315199852,371.41514390707016,1.0,329.56605410575867,383.153116941452,0.00010052323341369629,336.0094199180603,381.8171157836914,0.00027173757553100586,337.4353013038635,375.75848865509033,0.00019314885139465332
15,340.80099296569824,370.23189973831177,1.0,349.22112214565277,364.13099271059036,9.492039680480957e-05,336.4875364303589,381.04785895347595,0.0002568662166595459,337.70037269592285,363.63745069503784,0.00021716952323913574
16,341.7019203901291,368.34618949890137,1.0,348.90901029109955,364.59215861558914,0.00012430548667907715,336.37259674072266,380.61186677217484,0.0002804994583129883,338.866907119751,373.50357484817505,0.0003237426280975342
17,342.72175455093384,368.4883089065552,1.0,330.8909549713135,382.26690912246704,0.00010478496551513672,336.61691093444824,380.604366004467,0.00044801831245422363,339.6794409751892,373.1985354423523,0.0002644062042236328
18,345.33879232406616,368.348210811615,1.0,331.33847910165787,381.856134057045,0.00010496377944946289,336.6098208427429,380.3218763768673,0.0007248222827911377,344.5437412261963,362.45016050338745,0.0002193748950958252
19,347.10711574554443,367.49040174484253,1.0,367.68070936203003,363.7646521925926,0.00013327598571777344,336.8075428009033,380.2681736946106,0.0004209280014038086,353.1749973297119,367.483882188797,0.00026848912239074707
20,349.0250813961029,367.92349338531494,1.0,367.19090485572815,364.02166938968,0.00014984607696533203,350.1336567401886,352.9729027748108,0.00030288100242614746,346.48947381973267,362.72074365615845,0.00030028820037841797
