scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,422.9724884033203,388.0119006726891,1.0,412.51277059316635,443.14895844459534,0.9999999403953552,389.4150547981262,443.50723573565483,0.0008465349674224854,394.0030995607376,445.25786674022675,0.0002530813217163086
1,418.85049843788147,385.19310212135315,1.0,413.24354565143585,441.8171625137329,1.0,389.67011308670044,442.9807116985321,0.0007098615169525146,393.876567363739,444.90143370628357,0.00017690658569335938
2,413.44271981716156,387.84933446347713,0.8772790431976318,413.8469970226288,441.7730107307434,1.0,389.7631034851074,442.0810866355896,0.0006223917007446289,413.29857635498047,452.8676183819771,0.00015172362327575684
3,404.29225116968155,389.6568810939789,0.06125795841217041,413.82143783569336,441.923948764801,1.0,436.2018747329712,424.946702003479,0.0005561411380767822,413.41112077236176,453.46240997314453,0.0001588761806488037
4,397.1640261411667,393.20254135131836,0.9358617067337036,414.2986855506897,439.46551394462585,1.0,436.37224197387695,426.14563274383545,0.0006951391696929932,413.39201188087463,453.2159125804901,0.0002568960189819336
5,389.13174962997437,396.7616644501686,0.8071337938308716,413.64481925964355,438.1950182914734,1.0,391.2242341041565,426.4926691055298,0.0005516707897186279,413.5275710821152,453.37309312820435,0.0002746284008026123
6,381.59869408607483,403.8148732185364,0.06896281242370605,412.39527502655983,439.0294964313507,1.0,390.26456689834595,426.26869344711304,0.0015073120594024658,413.97687315940857,453.633180141449,0.0002613961696624756
7,374.868572473526,412.29978904128075,0.0006598234176635742,410.2374007701874,438.32970547676086,1.0,388.652277469635,426.9261323213577,0.002040088176727295,414.5318386554718,454.1825122833252,0.00034627318382263184
8,373.5585608482361,417.2863166332245,0.351032018661499,410.77082777023315,437.88789892196655,1.0,387.89811992645264,434.9085599184036,0.00033786892890930176,414.99321818351746,454.30683279037476,0.0003997683525085449
9,373.148313164711,417.3726055622101,0.953536331653595,411.1877250671387,438.16095089912415,1.0,389.0531482696533,426.8979197740555,0.0003597438335418701,414.9294686317444,454.27271938323975,0.0004297196865081787
10,373.01461720466614,417.08636355400085,0.9923349618911743,411.74811458587646,437.89996445178986,1.0,389.1799397468567,426.9707511663437,0.0004634559154510498,414.6796588897705,454.2007563114166,0.00042250752449035645
11,372.2247788608074,417.0789849758148,0.9980096220970154,412.27777990698814,437.82819175720215,1.0,389.02870750427246,426.1025929450989,0.0010383129119873047,414.3129482269287,453.9654849767685,0.00039374828338623047
12,372.48381716012955,417.17060351371765,0.9531739950180054,412.86314833164215,437.45428586006165,1.0,389.51474714279175,425.9091579914093,0.0007612705230712891,413.9204788208008,453.8552244901657,0.00037747621536254883
13,373.5146735906601,417.8259174823761,0.7118518352508545,413.85360753536224,438.60257625579834,1.0,390.50904273986816,425.85924792289734,0.0003186166286468506,435.86673736572266,454.75693345069885,0.00036156177520751953
14,373.18408715724945,419.426271378994,0.9696412086486816,414.4249050617218,439.7128326892853,1.0,405.7426190376282,453.20149970054626,0.00024208426475524902,435.84469175338745,454.77969789505005,0.00033026933670043945
15,372.5263875722885,419.0075590610504,0.9986826181411743,416.1541199684143,442.0540691614151,1.0,390.79206800460815,425.6185939311981,0.0003222525119781494,435.7016353607178,454.66271352767944,0.0003234744071960449
16,371.69191813468933,418.0978217124939,0.8751729726791382,416.1324508190155,441.5724952220917,1.0,390.27205753326416,425.5430483818054,0.0025797486305236816,435.611572265625,454.52278780937195,0.000383526086807251
17,366.8515501022339,412.8625171780586,0.051084280014038086,412.24450497329235,435.05325561761856,0.9999998807907104,388.07240772247314,426.37418961524963,0.00211372971534729,435.29771280288696,454.8892138004303,0.0006285011768341064
18,364.29977214336395,410.28500485420227,0.40727856755256653,405.9969666004181,427.0563087463379,1.0,386.45869636535645,426.9387938976288,0.0010540187358856201,413.10075283050537,453.9070084095001,0.0009438693523406982
19,359.0077500343323,404.8100314736366,0.5182271599769592,402.71408808231354,424.7035479545593,1.0,386.6815528869629,420.600474357605,0.0008322298526763916,413.73476016521454,454.1896369457245,0.0013154447078704834
20,357.60138976573944,402.76350724697113,0.009417504072189331,399.9545273780823,423.1839053630829,1.0,388.33600330352783,420.27456000447273,0.0007665157318115234,414.429972410202,454.34202218055725,0.00090751051902771
21,435.7164921760559,446.7462432384491,0.0003662109375,399.8149290084839,420.7457809448242,0.9999997019767761,389.46571159362793,420.4033908843994,0.0006911158561706543,414.70310616493225,454.0369894504547,0.0006063282489776611
22,422.7965712547302,465.85300874710083,0.008306831121444702,398.98759746551514,419.344631254673,0.9999998807907104,373.20304679870605,411.24050199985504,0.0011901259422302246,418.5980849266052,439.73550271987915,0.00045230984687805176
