scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,510.3171937465668,146.89956617355347,1.0,549.9726761579514,137.33066987991333,1.0,578.3684530258179,176.93083477020264,1.0,578.853444814682,207.28508710861206,1.0
1,510.8221423625946,147.49936044216156,1.0,550.1873071193695,137.42193794250488,1.0,578.4330022335052,176.79114246368408,1.0,579.1988223195076,206.94294619560242,1.0
2,510.82751655578613,147.7541764974594,1.0,550.0460391044617,137.43320608139038,1.0,578.5141632556915,176.67624807357788,1.0,579.3613822460175,206.75915455818176,1.0
3,512.4408440589905,148.31909850239754,1.0,550.5147364139557,137.30348014831543,1.0,578.5686619281769,176.65427446365356,1.0,579.4610674381256,206.6551637649536,1.0
4,513.3081312179565,148.8485895395279,1.0,550.42662525177,137.25944471359253,1.0,578.5778605937958,176.59884977340698,1.0,579.4969437122345,206.50362730026245,1.0
5,513.0660729408264,148.88951814174652,1.0,550.9496166706085,137.30237579345703,1.0,578.3043397665024,176.64814376831055,1.0,579.4681783914566,206.6232030391693,1.0
6,513.7367744445801,147.9406681060791,1.0,551.3759949207306,137.25226497650146,1.0,578.1546674966812,176.6726222038269,1.0,579.5271008014679,206.75486207008362,1.0
7,513.9570152759552,147.14788436889648,1.0,551.5372672080994,137.22806882858276,1.0,578.266687631607,176.69215393066406,1.0,579.5265221595764,206.75323271751404,1.0
8,513.9568648338318,146.36825037002563,1.0,551.5480480194092,137.17347145080566,1.0,578.3971489667892,176.72380256652832,1.0,579.489078938961,206.74668145179749,1.0
9,514.017991065979,147.0186243057251,1.0,551.6784915924072,137.2505578994751,1.0,578.3763226270676,176.64787197113037,1.0,579.6386143863201,206.73888874053955,1.0
10,513.9835901260376,147.96665670722723,1.0,551.7395222187042,137.40976858139038,1.0,578.3840733766556,176.57654428482056,1.0,579.8010663092136,206.87835431098938,1.0
11,513.6876068115234,148.41330528259277,1.0,551.673360824585,137.46661520004272,1.0,578.3752471208572,176.506085395813,1.0,579.8393270224333,206.85669445991516,1.0
12,513.803804397583,148.99848729372025,1.0,551.5572462081909,137.47735166549683,1.0,578.4997198581696,176.36399507522583,1.0,579.7439507842064,206.84464168548584,1.0
13,514.3200535774231,150.23228812217712,1.0,550.9947528839111,137.8052577972412,1.0,578.1951241493225,176.37105464935303,1.0,579.8466269820929,206.79784226417542,1.0
14,514.4091119766235,150.8964877128601,1.0,551.0023593902588,137.84687042236328,1.0,578.1664345264435,176.37530994415283,1.0,579.8673581033945,206.79848623275757,1.0
15,514.0429892539978,150.70516538619995,1.0,550.9779810905457,137.92857027053833,1.0,578.1885631084442,176.4414930343628,1.0,579.9636753089726,206.81525230407715,1.0
16,514.2371606826782,150.2492377758026,1.0,550.8146588802338,138.18727827072144,1.0,578.4573518037796,176.37419748306274,1.0,579.9174767583609,206.7499737739563,1.0
17,514.1252632141113,149.8192217350006,1.0,550.8693056106567,138.02524423599243,1.0,578.423301577568,176.34862899780273,1.0,579.9168976768851,206.9372627735138,1.0
18,513.7705383300781,149.29164814949036,1.0,550.8827302455902,138.0683946609497,1.0,578.5013085603714,176.6217737197876,1.0,579.9786840043962,207.3552896976471,1.0
19,513.8237981796265,149.33310675621033,1.0,550.8604111671448,137.9168586730957,1.0,578.3683217763901,176.42259073257446,1.0,579.8707366585732,207.0351846218109,1.0
20,514.0738549232483,149.39877378940582,1.0,550.8686907291412,138.0435643196106,1.0,578.3113232851028,176.42886877059937,1.0,579.7857087254524,206.9640030860901,1.0
21,514.130373954773,149.5036473274231,1.0,551.0202560424805,138.04794311523438,1.0,578.3576599359512,176.25696086883545,1.0,579.8824054151773,206.91206455230713,1.0
22,514.1314277648926,149.75546538829803,1.0,551.0404992103577,138.001211643219,1.0,578.2350326776505,176.3871955871582,1.0,579.9505136311054,206.99233293533325,1.0
23,513.9588294029236,149.5961685180664,1.0,550.8642132282257,138.03557634353638,1.0,578.2896564006805,176.40647315979004,1.0,580.045810893178,207.14418983459473,1.0
24,514.0955085754395,149.48669362068176,1.0,550.872635602951,138.07622146606445,1.0,578.2478654384613,176.48096990585327,1.0,579.8836896196008,207.01814556121826,1.0
25,514.2494220733643,149.18116784095764,1.0,551.0964777469635,137.97992420196533,1.0,578.3852907419205,176.35615062713623,1.0,579.8942798450589,207.15883493423462,1.0
26,514.1891007423401,149.03000342845917,1.0,551.1587738990784,137.957350730896,1.0,578.3431128263474,176.4905242919922,1.0,579.8776586800814,207.17238521575928,1.0
27,513.885703086853,148.914220392704,1.0,551.2521710395813,137.90430402755737,1.0,578.3212062120438,176.3071174621582,1.0,579.9837294984609,206.86006093025208,1.0
