scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,414.6478672027588,206.2262318134308,0.9999852776527405,390.5625534057617,237.41826593875885,1.0,386.62893986701965,303.555641412735,1.0,405.2865413427353,338.87769961357117,0.9999780654907227
25,415.3060965538025,206.00790429115295,0.9999666213989258,390.19593691825867,236.23047637939453,1.0,386.16938042640686,303.3260681629181,1.0,404.31392776966095,338.9516439437866,0.9999927878379822
26,416.1296212673187,204.56021147966385,0.9999987483024597,389.76025342941284,234.46137380599976,1.0,388.82673954963684,302.9627161026001,1.0,408.2118773460388,333.58961391448975,0.9985945224761963
27,417.3639006614685,202.46036612987518,0.9999986290931702,390.17726731300354,230.57284331321716,1.0,386.4125097990036,296.3742427825928,0.9999998807907104,407.1721568107605,328.8683454990387,0.9992305040359497
28,417.32786297798157,200.0364956855774,0.9999983906745911,389.5734612941742,227.95290314778686,1.0,387.0980771780014,293.23340368270874,1.0,408.53452491760254,323.601707726717,0.9989078044891357
29,418.3533774614334,196.90052491426468,1.0,390.03377652168274,224.94726419448853,1.0,385.37931060791016,287.38957834243774,1.0,406.5280201435089,323.79815642535686,0.9999923706054688
30,416.9637370109558,193.0041036605835,0.9964771270751953,391.23751521110535,222.4483323097229,1.0,387.03847378492355,284.68200546503067,1.0,404.43696215748787,319.53757095336914,0.9998581409454346
31,417.06936979293823,188.87939316034317,0.6461353302001953,392.7390298843384,218.2043695449829,1.0,388.9531787633896,282.66430377960205,0.9999998807907104,408.4793643951416,314.92831337451935,0.9140076637268066
32,418.0566954612732,185.96539092063904,0.3594483733177185,394.8822703361511,214.49456596374512,1.0,391.86578822135925,279.393426656723,1.0,409.08426451683044,311.200560092926,0.9602369070053101
33,418.41549706459045,180.5846164226532,0.004536539316177368,396.6653783917427,210.86197185516357,1.0,394.6822819709778,277.9028899669647,0.9999998807907104,404.3613432049751,310.77211022377014,0.9999951720237732
