scorer,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000
bodyparts,nose,nose,nose,L-ear,L-ear,L-ear,R-ear,R-ear,R-ear,tail base,tail base,tail base,tail tip,tail tip,tail tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,435.60228645801544,327.60604596138,0.999997615814209,408.255615234375,382.75217485427856,0.999984860420227,361.57418942451477,536.2450518608093,0.9396608471870422,275.3742199540138,425.36394143104553,0.8577913641929626,374.8448312282562,727.0628278255463,0.9969935417175293
1,436.6637427210808,326.04449367523193,0.9999740123748779,408.0823040008545,382.7072467803955,0.9999862909317017,359.905109167099,535.6234509944916,0.9198862314224243,360.47011947631836,533.3819497823715,0.6673508286476135,373.99209010601044,726.9061243534088,0.8113011121749878
2,436.1729074418545,326.9890236854553,0.9999973773956299,408.4468493461609,382.50110721588135,0.9999868869781494,359.1224555969238,536.6648569107056,0.8843045234680176,374.2632348537445,724.3122423291206,0.7135845422744751,373.2291818857193,726.4040246009827,0.9839324951171875
3,435.25500708818436,326.10819029808044,0.9999973773956299,407.3324637413025,383.8426387310028,0.9999836683273315,359.52760577201843,536.617094039917,0.9379581212997437,360.76671075820923,534.5915796756744,0.1372377574443817,686.7619881629944,824.7302713394165,0.9907181262969971
4,435.8792394474149,325.7956391572952,0.9999986886978149,408.8362669944763,382.8938307762146,0.9999579191207886,360.85536336898804,536.2813053131104,0.8457698822021484,363.5613594055176,534.700190782547,0.5661587715148926,374.75265407562256,722.3055007457733,0.9860162138938904
5,435.7087519466877,326.0956242084503,0.9999980926513672,408.28036403656006,383.13020372390747,0.9999957084655762,454.1421413421631,403.8316252529621,0.614125669002533,363.30727046728134,535.5622711181641,0.5863193273544312,374.3769431114197,720.9569470882416,0.9674288034439087
6,435.3317784667015,327.59369468688965,0.9999957084655762,408.03443717956543,384.7198238372803,0.9999867677688599,359.74594140052795,536.923629283905,0.8643256425857544,363.8361654281616,535.44486951828,0.26890456676483154,376.0627660751343,721.7883067131042,0.9895085692405701
7,435.45587062835693,326.7829587459564,0.9999974966049194,408.903356552124,383.3112487792969,0.9999824166297913,360.62411665916443,533.4355471134186,0.4305790662765503,363.1352103948593,533.2386138439178,0.37691736221313477,375.5208749771118,723.8929747566581,0.5840680599212646
8,436.2487098425627,329.9391174316406,0.9999952912330627,408.97007846832275,384.5474421977997,0.9999983310699463,361.34328293800354,536.3751199245453,0.6253076791763306,277.58763659000397,422.2145643234253,0.7133492231369019,277.7882696390152,422.03342151641846,0.5249065160751343
9,443.0473111271858,353.306045293808,0.9999884963035583,404.12120074778795,389.5308003425598,0.9999936819076538,357.50211441516876,533.7081067562103,0.685789167881012,362.03372967243195,534.1700329780579,0.4263731837272644,376.0000333786011,725.9267348051071,0.9917786121368408
10,450.4089421033859,373.66356658935547,0.9999444484710693,399.4974436759949,399.7071304321289,0.9999996423721313,454.4025065898895,399.4481906890869,0.9717249274253845,362.911585688591,532.5587621927261,0.7963531017303467,374.5425019264221,725.181146979332,0.9966590404510498
11,447.5553891658783,387.79340256750584,0.9981148838996887,396.5928478240967,410.34810400009155,0.9999995231628418,384.72701597213745,356.6973879933357,0.9998986721038818,359.4133491516113,533.783939242363,0.6967427730560303,261.38327395915985,613.4766159057617,0.013994723558425903
